Dim,Key,TempoM
2852,950,-2.09999e-05
2862,953,0.000266
2872,957,9.4e-05
2882,960,0.000232
2892,963,6.59999e-05
2902,967,0.00011
2912,970,0.000392
2922,973,7.00005e-06
2932,977,0.000184
2942,980,-0.000227
2952,983,0.000163
2962,987,-5.6e-05
2972,990,0.000146
2982,993,-1.9e-05
2992,997,0.000177
3002,1000,0.000116
3012,1003,2.5e-05
3022,1007,8.1e-05
3032,1010,-7.30001e-05
3042,1013,3.2e-05
3052,1017,9.6e-05
3062,1020,0.000272
3072,1023,-0.000259
3082,1027,-6.5e-05
3092,1030,0.000123
3102,1033,-9.7e-05
3112,1037,6.5e-05
3122,1040,0.000341
3132,1043,0.000134
3142,1047,7e-06
3152,1050,0.000122
3162,1053,0.000174
3172,1057,9.6e-05
3182,1060,0.000131
3192,1063,0.000223
3202,1067,0.00018
3212,1070,0.000118
3222,1073,0.000122
3232,1077,0.000111
3242,1080,0.000176
3252,1083,0.000125
3262,1087,0.000173
3272,1090,0.000111
3282,1093,-0.000335
3292,1097,9e-05
3302,1100,0.000119
3312,1103,3.8e-05
3322,1107,8.1e-05
3332,1110,8.3e-05
3342,1113,0.00012
3352,1117,0.00017
3362,1120,0.000867
3372,1123,-0.000215
3382,1127,7.3e-05
3392,1130,0.000165
3402,1133,8.9e-05
3412,1137,0.000238
3422,1140,-0.000151
3432,1143,0.000174
3442,1147,8.9e-05
3452,1150,0.000161
3462,1153,0.000152
3472,1157,0.000208
3482,1160,0.000134
3492,1163,0.000105
3502,1167,9.2e-05
3512,1170,0.000243
3522,1173,0.000176
3532,1177,0.000418
3542,1180,0.00014
3552,1183,0.000287
3562,1187,7.5e-05
3572,1190,0.000129
3582,1193,0.000263
3592,1197,7.69999e-05
3602,1200,0.000215
3612,1203,0.000167
3622,1207,5.2e-05
3632,1210,9.9e-05
3642,1213,0.000155
3652,1217,0.00034
3662,1220,9.3e-05
3672,1223,0.000173
3682,1227,8.2e-05
3692,1230,7.8e-05
3702,1233,0.000169
3712,1237,0.000362
3722,1240,-0.000184
3732,1243,0.000262
3742,1247,0.000116
3752,1250,0.00015
3762,1253,0.000395
3772,1257,0.000322
3782,1260,-0.000203
3792,1263,0.000267
3802,1267,0.000491
3812,1270,-6.99994e-06
3822,1273,0.000157
3832,1277,8e-05
3842,1280,0.000191
3852,1283,8.50001e-05
3862,1287,0.000147
3872,1290,0.000164
3882,1293,0.000178
3892,1297,0.000218
3902,1300,8.6e-05
3912,1303,0.000227
3922,1307,1.00001e-06
3932,1310,0.000108
3942,1313,0.000132
3952,1317,9.4e-05
3962,1320,0.000369
3972,1323,0.000218
3982,1327,0.000169
3992,1330,0.000148
4002,1333,4.5e-05
4012,1337,0.00019
4022,1340,0.000183
4032,1343,2.60001e-05
4042,1347,0.000137
4052,1350,0.000116
4062,1353,0.000128
4072,1357,9.6e-05
4082,1360,0.000104
4092,1363,0.000149
4102,1367,0.000192
4112,1370,5.7e-05
4122,1373,9.2e-05
4132,1377,0.000104
4142,1380,0.000144
4152,1383,1.10001e-05
4162,1387,0.00013
4172,1390,0.00031
4182,1393,0.000286
4192,1397,0.000115
4202,1400,0.000187
4212,1403,0.000131
4222,1407,0.000288
4232,1410,9.6e-05
4242,1413,0.000223
4252,1417,0.000116
4262,1420,0.000113
4272,1423,0.000234
4282,1427,0.000123
4292,1430,0.000124
4302,1433,7.5e-05
4312,1437,0.000167
4322,1440,0.000346
4332,1443,0.000158
4342,1447,0.000134
4352,1450,0.000245
4362,1453,0.000144
4372,1457,9.5e-05
4382,1460,0.000126
4392,1463,0.000226
4402,1467,0.000146
4412,1470,0.000435
4422,1473,-1.4e-05
4432,1477,8.49999e-05
4442,1480,0.000236
4452,1483,-1.00001e-06
4462,1487,-0.000513
4472,1490,0.000202
4482,1493,0.000262
4492,1497,0.000333
4502,1500,-0.000144
4512,1503,4.4e-05
4522,1507,0.000109
4532,1510,0.000868
4542,1513,5e-05
4552,1517,0.000233
4562,1520,0.000178
4572,1523,0.000228
4582,1527,4.6e-05
4592,1530,0.00014
4602,1533,0.000256
4612,1537,0.000135
4622,1540,0.000373
4632,1543,0.000183
4642,1547,0.000299
4652,1550,0.000269
4662,1553,8.70001e-05
4672,1557,0.00025
4682,1560,0.000183
4692,1563,0.0003
4702,1567,4.60001e-05
4712,1570,0.000187
4722,1573,0.000168
4732,1577,0.000174
4742,1580,-5.7e-05
4752,1583,7.7e-05
4762,1587,0.00025
4772,1590,6.7e-05
4782,1593,0.000205
4792,1597,9.1e-05
4802,1600,0.000242
4812,1603,0.000151
4822,1607,0.00077
4832,1610,0.001173
4842,1613,8.40001e-05
4852,1617,0.000126
4862,1620,-2.19999e-05
4872,1623,0.000206
4882,1627,0.000147
4892,1630,0.000365
4902,1633,0.00048
4912,1637,0.000316
4922,1640,2.1e-05
4932,1643,0.000171
4942,1647,4.8e-05
4952,1650,0.00011
4962,1653,-0.000119
4972,1657,0.000745
4982,1660,0.000386
4992,1663,0.000154
5002,1667,-0.000224
5012,1670,0.000935
5022,1673,0.000334
5032,1677,0.0001
5042,1680,0.001104
5052,1683,-0.00016
5062,1687,-0.000133
5072,1690,0.000382
5082,1693,0.000179
5092,1697,0.000218
5102,1700,0.000184
5112,1703,0.000142
5122,1707,5.5e-05
5132,1710,0.000135
5142,1713,0.000238
5152,1717,0.000116
5162,1720,7.99999e-05
5172,1723,6.1e-05
5182,1727,0.000146
5192,1730,0.000153
5202,1733,0.001011
5212,1737,0.000115
5222,1740,0.000118
5232,1743,0.000104
5242,1747,0.000241
5252,1750,0.000148
5262,1753,0.000169
5272,1757,0.000239
5282,1760,0.000304
5292,1763,0.000108
5302,1767,0.000249
5312,1770,0.000298
5322,1773,0.000454
5332,1777,0.00021
5342,1780,0.000195
5352,1783,0.000194
5362,1787,0.000468
5372,1790,0.000377
5382,1793,0.00026
5392,1797,0.000271
5402,1800,0.000399
5412,1803,-8.99995e-06
5422,1807,0.000203
5432,1810,0.000225
5442,1813,0.000446
5452,1817,0.000112
5462,1820,-5e-05
5472,1823,0.00036
5482,1827,0.000208
5492,1830,-5e-05
5502,1833,0.000147
5512,1837,5.1e-05
5522,1840,0.00017
5532,1843,0.000173
5542,1847,0.000158
5552,1850,0.000306
5562,1853,0.00018
5572,1857,0.000298
5582,1860,0.0002
5592,1863,0.000276
5602,1867,0.000141
5612,1870,0.000128
5622,1873,0.000185
5632,1877,0.000194
5642,1880,0.000271
5652,1883,0.000308
5662,1887,0.000152
5672,1890,0.000232
5682,1893,0.000174
5692,1897,0.000268
5702,1900,0.000344
5712,1903,0.000486
5722,1907,0.000198
5732,1910,0.00031
5742,1913,0.000274
5752,1917,0.000832
5762,1920,-0.000107
5772,1923,0.000425
5782,1927,0.000367
5792,1930,0.000194
5802,1933,0.000403
5812,1937,-6.7e-05
