Dim,Key,TempoM,SD
1992,1,0.023286,0.0439505
2002,1,0.023387,0.0444892
2012,1,0.023745,0.0450231
2022,1,0.024709,0.0455699
2032,1,0.024032,0.0461722
2042,1,0.024369,0.0467142
2052,1,0.024705,0.0472674
2062,1,0.024831,0.0478317
2072,1,0.02506,0.0483925
2082,1,0.025569,0.048957
2092,1,0.02553,0.0495441
2102,1,0.029936,0.0501162
2112,1,0.026152,0.0510051
2122,1,0.026247,0.0515901
2132,1,0.028457,0.0521695
2142,1,0.027272,0.0528905
2152,1,0.027235,0.0535123
2162,1,0.027323,0.0541188
2172,1,0.030296,0.0547189
2182,1,0.034975,0.0555155
2192,1,0.028294,0.0566771
2202,1,0.028745,0.0572937
2212,1,0.028429,0.0579276
2222,1,0.028818,0.0585286
2232,1,0.029398,0.059143
2242,1,0.029208,0.0597828
2252,1,0.029525,0.0603981
2262,1,0.029889,0.0610219
2272,1,0.029982,0.061657
2282,1,0.032341,0.062286
2292,1,0.030857,0.0630591
2302,1,0.030828,0.0637178
2312,1,0.031361,0.0643623
2322,1,0.03174,0.0650285
2332,1,0.033355,0.0657064
2342,1,0.031995,0.0664772
2352,1,0.032098,0.0671447
2362,1,0.03255,0.0678064
2372,1,0.032947,0.0684843
2382,1,0.033394,0.0691746
2392,1,0.035067,0.0698805
2402,1,0.033787,0.0706817
2412,1,0.033802,0.0713851
2422,1,0.034075,0.0720769
2432,1,0.03618,0.0727732
2442,1,0.034987,0.0735911
2452,1,0.035104,0.0743173
2462,1,0.037606,0.0750379
2472,1,0.035487,0.0759062
2482,1,0.035731,0.0766231
2492,1,0.036074,0.0773423
2502,1,0.036483,0.07807
2512,1,0.036451,0.07881
2522,1,0.03681,0.0795354
2532,1,0.037158,0.08027
2542,1,0.037558,0.0810131
2552,1,0.039672,0.0817677
2562,1,0.038127,0.0826412
2572,1,0.038445,0.083403
2582,1,0.038734,0.0841711
2592,1,0.038988,0.0849437
2602,1,0.038558,0.0857186
2612,1,0.039515,0.0864554
2622,1,0.039975,0.0872365
2632,1,0.040055,0.0880322
2642,1,0.040495,0.0888194
2652,1,0.040677,0.0896199
2662,1,0.041366,0.0904181
2672,1,0.043828,0.0912441
2682,1,0.046554,0.0922089
2692,1,0.049872,0.0933374
2702,1,0.04242,0.0946817
2712,1,0.047725,0.095505
2722,1,0.058101,0.0966502
2732,1,0.051434,0.0985804
2742,1,0.045773,0.0999295
2752,1,0.049582,0.100875
2762,1,0.050266,0.102048
2772,1,0.044633,0.103245
2782,1,0.04476,0.104074
2792,1,0.045299,0.104897
2802,1,0.045469,0.105739
2812,1,0.04836,0.106577
2822,1,0.046611,0.107569
